modell,avh,variabel,b,se,p,ci_lo,ci_hi,r2_within,n_obs,n_ent
Sp STV: dpop10,pst,dpop10,-0.02261,0.02678,0.39864,-0.07512,0.0299,0.0006,2815,352
Sp STV: dpop10+lnpop,pst,dpop10,0.0445,0.02461,0.07071,-0.00376,0.09277,0.0765,2815,352
Sp STV: dpop10+lnpop,pst,ln_pop,-12.83453,1.36751,0.0,-15.51613,-10.15294,0.0765,2815,352
Sp STV [periferi]: dpop10,pst,dpop10,0.03028,0.04122,0.46272,-0.05059,0.11115,0.0009,1392,174
Sp STV [sentrale]: dpop10,pst,dpop10,-0.05159,0.02769,0.06269,-0.10593,0.00274,0.0042,1423,178
Sp KV: dpop10,pst,dpop10,-0.04735,0.06291,0.45166,-0.17072,0.07601,0.0006,2441,351
Sp KV: dpop10+lnpop,pst,dpop10,0.02836,0.08339,0.73378,-0.13517,0.1919,0.0043,2441,351
Sp KV: dpop10+lnpop,pst,ln_pop,-3.03951,1.56445,0.05217,-6.10756,0.02853,0.0043,2441,351
Sp KV [periferi]: dpop10,pst,dpop10,0.07273,0.12929,0.57387,-0.18097,0.32644,0.0007,1206,174
Sp KV [sentrale]: dpop10,pst,dpop10,-0.11842,0.0521,0.02324,-0.22065,-0.01618,0.0087,1235,177
Sp Alle: dpop10,pst,dpop10,-0.05264,0.03972,0.18514,-0.1305,0.02523,0.0009,5256,352
Sp Alle: dpop10+lnpop,pst,dpop10,0.02373,0.04343,0.58486,-0.06142,0.10887,0.0089,5256,352
Sp Alle: dpop10+lnpop,pst,ln_pop,-4.8132,2.08059,0.02074,-8.8921,-0.7343,0.0089,5256,352
Sp Alle [periferi]: dpop10,pst,dpop10,0.01882,0.06782,0.78141,-0.11417,0.15181,0.0001,2598,174
Sp Alle [sentrale]: dpop10,pst,dpop10,-0.09671,0.04103,0.01849,-0.17715,-0.01626,0.0057,2658,178
Ap STV: dpop10,pst,dpop10,-0.04208,0.02546,0.09855,-0.09201,0.00785,0.0026,2815,352
Ap STV: dpop10+lnpop,pst,dpop10,-0.04701,0.02545,0.0648,-0.09691,0.00289,0.0032,2815,352
Ap STV: dpop10+lnpop,pst,ln_pop,0.94329,1.41188,0.50413,-1.82531,3.71188,0.0032,2815,352
Ap STV [periferi]: dpop10,pst,dpop10,0.01816,0.04343,0.67594,-0.06704,0.10336,0.0004,1392,174
Ap STV [sentrale]: dpop10,pst,dpop10,-0.06108,0.02622,0.01997,-0.11252,-0.00965,0.0072,1423,178
Ap KV: dpop10,pst,dpop10,0.05192,0.05712,0.36345,-0.0601,0.16395,0.0006,2441,351
Ap KV: dpop10+lnpop,pst,dpop10,0.0588,0.07867,0.45491,-0.09549,0.21308,0.0006,2441,351
Ap KV: dpop10+lnpop,pst,ln_pop,-0.27594,1.26319,0.8271,-2.75318,2.2013,0.0006,2441,351
Ap KV [periferi]: dpop10,pst,dpop10,0.06961,0.12878,0.58898,-0.18311,0.32232,0.0005,1206,174
Ap KV [sentrale]: dpop10,pst,dpop10,0.0351,0.04912,0.47496,-0.06127,0.13148,0.0006,1235,177
Ap Alle: dpop10,pst,dpop10,0.02243,0.03796,0.5546,-0.05199,0.09686,0.0001,5256,352
Ap Alle: dpop10+lnpop,pst,dpop10,0.00961,0.0433,0.82434,-0.07528,0.0945,0.0003,5256,352
Ap Alle: dpop10+lnpop,pst,ln_pop,0.80811,0.82109,0.32507,-0.80159,2.41781,0.0003,5256,352
Ap Alle [periferi]: dpop10,pst,dpop10,0.08719,0.07474,0.24349,-0.05937,0.23374,0.0011,2598,174
Ap Alle [sentrale]: dpop10,pst,dpop10,0.00282,0.02849,0.92106,-0.05305,0.0587,0.0,2658,178
Sp STV [BETWEEN],pst,dpop10,-0.22094,0.06288,0.0005,-0.34418,-0.0977,0.4037,352,352
Sp KV [BETWEEN],pst,dpop10,-0.20303,0.09652,0.03614,-0.39221,-0.01385,0.2197,351,351
Sp Alle [BETWEEN],pst,dpop10,-0.20735,0.07622,0.00684,-0.35673,-0.05797,0.3161,352,352
Ap STV [BETWEEN],pst,dpop10,-0.53338,0.06997,0.0,-0.67051,-0.39624,0.1435,352,352
Ap KV [BETWEEN],pst,dpop10,-0.55437,0.10874,0.0,-0.7675,-0.34125,0.1657,351,351
Ap Alle [BETWEEN],pst,dpop10,-0.57232,0.08416,0.0,-0.73729,-0.40736,0.1472,352,352
Timing Sp: KV→STV,sv_pst,kv_pst,0.15622,0.01731,0.0,,,0.0979,3189,356
Timing Ap: KV→STV,sv_pst,kv_pst,0.10756,0.01081,0.0,,,0.0864,3189,356
